emp_no,salary
10231,40000
10232,89606
10233,40000
10234,84584
10235,41941
10236,80469
10237,100715
10238,52764
10239,65146
10240,73874
10241,40000
10242,40000
10243,59332
10244,56292
10245,40000
10246,40000
10247,40000
10248,58918
10249,72192
10250,50330
10251,61743
10252,40000
10253,62494
10254,60222
10255,63822
10256,71305
10257,40000
10258,66280
10259,88991
10260,60879
10261,40000
10262,63005
10263,67883
10264,60522
10265,46382
10266,47093
10267,40000
10268,41017
10269,40000
10270,42081
10271,53680
10272,58070
10273,75148
10274,86164
10275,40000
10276,40000
10277,59534
10278,51703
10279,40000
10280,66695
10281,46123
10282,40000
10283,40000
10284,40000
10285,62075
10286,40000
10287,55732
10288,80474
10289,40000
10290,44274
10291,57430
10292,78370
10293,44200
10294,66448
10295,46398
10296,77788
10297,63061
10298,40000
10299,76484
10300,72504
10301,40000
10302,58239
10303,40000
10304,106905
10305,52550
10306,44229
10307,40000
10308,59715
10309,53031
10310,42894
10311,40000
10312,56705
10313,60589
10314,51939
10315,60494
10316,40000
10317,51129
10318,73259
10319,84162
10320,58483
10321,86819
10322,41968
10323,40000
10324,67499
10325,44325
10326,40000
10327,54734
10328,46286
10329,51664
10330,86545
10331,55800
10332,52133
10333,45141
10334,40000
10335,52633
10336,63248
10337,56061
10338,40000
10339,40000
10340,68132
10341,40000
10342,40000
10343,40000
10344,53087
10345,66930
10346,78088
10347,42199
10348,40000
10349,47518
10350,41213
10351,40000
10352,40000
10353,62656
10354,60762
10355,70434
10356,45376
10357,40000
10358,63243
10359,40000
10360,40000
10361,64213
10362,40000
10363,40401
10364,51401
10365,45523
10366,47229
10367,63565
10368,42463
10369,47236
10370,40010
10371,61475
10372,54505
10373,53305
10374,69568
10375,93329
10376,42634
10377,40000
10378,75311
10379,40000
10380,76387
10381,78510
10382,45785
10383,47452
10384,43270
10385,40000
10386,53367
10387,61374
10388,62545
10389,55548
10390,40000
10391,56655
10392,50962
10393,40000
10394,40000
10395,42774
10396,40393
10397,40529
10398,54156
10399,97010
10400,63746
10401,40000
10402,40000
10403,83609
10404,51647
10405,40000
10406,40000
10407,62565
10408,76369
10409,64363
10410,46546
10411,66415
10412,65405
10413,45416
10414,43255
10415,50219
10416,68993
10417,78571
10418,52224
10419,40569
10420,69604
10421,40000
10422,45725
10423,51183
10424,50054
10425,40000
10426,65757
10427,79320
10428,40000
10429,40000
10430,40000
10431,67068
10432,40000
10433,40000
10434,40000
10435,45352
10436,40000
10437,59749
10438,40000
10439,62401
10440,54615
10441,40000
10442,46005
10443,55299
10444,86407
10445,59438
10446,48170
10447,40000
10448,48558
10449,55316
10450,40000
10451,46275
10452,40000
10453,40000
10454,84280
10455,98251
10456,57599
10457,60672
10458,76973
10459,40000
10460,40000
10461,82217
10462,40000
10463,66480
10464,40000
10465,59124
10466,55318
10467,79905
10468,40000
10469,42697
10470,49593
10471,58951
10472,48561
10473,41613
10474,43948
10475,51203
10476,58221
10477,55138
10478,40000
10479,40000
10480,55669
10481,40000
10482,79330
10483,47423
10484,40000
10485,47265
10486,71692
10487,45083
10488,40000
10489,56739
10490,62973
10491,66740
10492,60838
10493,43998
10494,50094
10495,75661
10496,41835
10497,63707
10498,40000
10499,40000
10500,42688
10501,53922
10502,40000
10503,40000
10504,43931
10505,63696
10506,40000
10507,40000
10508,46204
10509,49292
10510,69341
10511,40000
10512,40000
10513,86392
10514,48428
10515,91484
10516,74920
10517,65330
10518,51168
10519,40000
10520,40000
10521,91262
10522,40000
10523,40000
10524,49950
10525,87439
10526,40000
10527,43405
10528,63813
10529,47840
10530,68487
10531,49168
10532,87468
10533,57135
10534,40000
10535,47272
10536,57487
10537,75976
10538,72002
10539,102092
10540,66067
10541,50741
10542,40000
10543,86526
10544,45092
10545,57752
10546,46871
10547,40000
10548,90631
10549,63795
10550,40000
10551,53473
10552,80483
10553,73618
10554,54763
10555,73486
10556,68797
10557,43289
10558,70012
10559,90120
10560,40000
10561,57319
10562,59596
10563,41280
10564,46660
10565,40000
10566,40000
10567,43717
10568,64356
10569,54732
10570,80145
10571,43658
10572,40000
10573,87241
10574,40000
10575,40523
10576,63861
10577,48286
10578,47301
10579,61438
10580,40000
10581,46569
10582,40973
10583,79782
10584,66898
10585,58389
10586,47541
10587,81562
10588,41478
10589,57215
10590,51930
10591,55131
10592,55997
10593,71435
10594,40000
10595,40000
10596,58689
10597,64739
10598,43329
10599,51952
10600,53535
10601,40000
10602,55058
10603,101271
10604,50849
10605,43162
10606,40000
10607,55024
10608,40000
10609,80458
10610,49812
10611,40000
10612,40000
10613,40000
10614,40000
10615,43533
10616,87010
10617,40000
10618,41127
10619,81662
10620,48584
10621,68991
10622,40000
10623,60268
10624,40000
10625,59732
10626,40000
10627,40000
10628,41650
10629,87045
10630,40000
10631,40000
10632,81733
10633,81900
10634,45179
10635,40000
10636,40904
10637,103579
10638,41573
10639,46291
10640,65156
10641,41785
10642,40000
10643,46600
10644,75403
10645,40000
10646,51562
10647,48302
10648,40000
10649,40000
10650,43591
10651,42023
10652,53160
10653,40000
10654,49062
10655,82968
10656,40658
10657,52462
10658,60978
10659,40000
10660,41814
10661,48179
10662,71708
10663,47521
10664,48215
10665,40000
10666,78258
10667,40000
10668,65326
10669,40000
10670,74595
10671,74037
10672,64663
10673,40000
10674,40000
10675,62205
10676,58226
10677,56994
10678,60389
10679,40000
10680,40000
10681,84136
10682,40000
10683,40000
10684,45861
10685,60601
10686,50869
10687,40000
10688,88410
10689,40000
10690,72028
10691,46745
10692,81380
10693,40000
10694,53020
10695,85720
10696,68913
10697,40000
10698,40000
10699,40000
10700,41400
10701,74949
10702,46581
10703,56724
10704,40000
10705,83673
10706,56139
10707,49504
10708,43514
10709,40000
10710,78877
10711,41824
10712,40000
10713,70575
10714,48821
10715,42323
10716,44101
10717,57525
10718,75473
10719,40000
10720,45832
10721,40000
10722,70199
10723,40000
10724,42347
10725,79207
10726,46315
10727,58253
10728,40000
10729,40000
10730,62107
10731,77892
10732,40000
10733,48013
10734,47377
10735,40000
10736,40000
10737,73505
10738,53510
10739,40000
10740,62138
10741,50265
10742,67405
10743,77435
10744,89495
10745,40000
10746,40000
10747,51538
10748,54532
10749,60829
10750,40000
10751,50052
10752,40000
10753,59507
10754,61081
10755,40000
10756,40000
10757,49134
10758,54186
10759,40000
10760,40000
10761,49974
10762,52172
10763,70160
10764,70720
10765,54339
10766,40000
10767,40651
10768,65717
10769,70229
10770,63401
10771,42658
10772,40000
10773,40000
10774,47119
10775,43898
10776,58145
10777,40000
10778,64996
10779,47332
10780,43654
10781,40000
10782,40000
10783,40000
10784,43003
10785,46165
10786,40000
10787,51707
10788,54887
10789,40000
10790,62801
10791,40000
10792,63324
10793,40000
10794,43485
10795,84206
10796,41785
10797,41005
10798,48210
10799,50539
10800,40000
10801,67302
10802,40000
10803,54260
10804,40000
10805,48778
10806,63146
10807,60203
10808,40000
10809,40485
10810,56062
10811,40000
10812,49418
10813,53246
10814,59378
10815,40000
10816,50240
10817,54602
10818,40000
10819,54631
10820,62182
10821,40000
10822,40110
10823,40000
10824,48813
10825,62199
10826,59506
10827,58322
10828,56559
10829,40000
10830,47420
10831,82330
10832,69585
10833,40000
10834,53869
10835,40000
10836,65502
10837,80879
10838,54762
10839,47625
10840,40000
10841,40000
10842,50760
10843,40000
10844,40000
10845,71307
10846,40000
10847,40000
10848,50475
10849,66065
10850,64525
10851,46644
10852,68153
10853,53029
10854,40000
10855,40000
10856,42965
10857,61549
10858,47847
10859,65600
10860,40000
10861,40000
10862,81455
10863,47486
10864,63243
10865,76287
10866,52131
10867,40000
10868,54496
10869,40000
10870,57493
10871,40000
10872,40000
10873,65835
10874,56071
10875,40000
10876,61389
10877,52537
10878,72102
10879,65651
10880,42551
10881,40000
10882,40000
10883,40000
10884,41750
10885,78613
10886,40000
10887,69570
10888,44183
10889,61892
10890,67703
10891,40000
10892,40000
10893,79803
10894,56923
10895,67103
10896,40000
10897,92925
10898,57590
10899,51956
10900,50054
10901,46600
10902,44359
10903,48377
10904,54328
10905,40000
10906,66204
10907,40000
10908,40000
10909,80935
10910,40000
10911,78637
10912,45665
10913,62428
10914,55565
10915,70564
10916,47842
10917,75182
10918,59521
10919,88498
10920,40000
10921,72601
10922,51997
10923,51933
10924,84783
10925,40000
10926,43219
10927,51819
10928,40000
10929,40000
10930,53785
10931,63662
10932,40000
10933,40000
10934,48342
10935,52007
10936,40000
10937,40000
10938,68677
10939,44203
10940,74987
10941,41721
10942,40000
10943,45890
10944,42872
10945,48633
10946,59531
10947,43068
10948,47252
10949,58253
10950,40000
10951,40000
10952,40000
10953,60970
10954,40000
10955,97936
10956,40000
10957,50675
10958,56563
10959,76685
10960,60491
10961,72047
10962,77274
10963,43878
10964,70157
10965,61654
10966,70464
10967,40000
10968,71593
10969,40000
10970,40000
10971,52453
10972,40000
10973,54616
10974,56005
10975,40000
10976,40000
10977,40000
10978,48115
10979,55955
10980,57614
10981,80674
10982,46503
10983,44062
10984,46645
10985,40000
10986,43900
10987,46108
10988,54174
10989,46406
10990,40000
10991,55946
10992,74318
10993,40000
10994,41471
10995,40000
10996,43564
10997,40000
10998,62861
10999,55946
11000,54654
11001,47199
11002,49909
11003,40000
11004,40226
11005,41901
11006,63287
11007,40000
11008,65018
11009,75111
11010,77160
11011,58931
11012,72092
11013,72427
11014,56447
11015,57076
11016,56498
11017,40000
11018,75379
11019,69387
11020,46493
11021,62670
11022,85058
11023,46292
11024,85419
11025,40000
11026,54590
11027,40000
11028,41111
11029,90110
11030,49948
11031,71654
11032,40000
11033,57239
11034,40000
11035,62108
11036,49051
11037,40000
11038,44993
11039,40000
11040,53648
11041,55068
11042,40000
11043,40000
11044,43441
11045,40000
11046,68001
11047,40000
11048,65697
11049,64700
11050,52251
11051,40000
11052,40000
11053,50489
11054,40000
11055,70811
11056,79354
11057,66650
11058,40000
11059,58271
11060,57435
11061,81257
11062,42053
11063,40000
11064,48411
11065,40000
11066,53496
11067,40000
11068,40000
11069,65760
11070,40000
11071,40000
11072,40000
11073,80125
11074,44035
11075,76877
11076,47480
11077,42983
11078,52797
11079,46239
11080,48328
11081,65686
11082,41586
11083,90972
11084,52121
11085,66437
11086,53234
11087,78081
11088,40000
11089,41004
11090,42025
11091,76253
11092,78588
11093,40000
11094,40000
11095,40000
11096,62132
11097,60027
11098,40000
11099,81756
11100,40000
11101,40000
11102,68721
11103,60761
11104,40000
11105,59803
11106,71446
11107,71066
11108,40000
11109,40000
11110,43063
11111,49777
11112,40000
11113,66401
11114,42370
11115,45364
11116,40000
11117,65945
11118,44310
11119,40000
11120,79352
11121,40000
11122,54157
11123,77539
11124,66045
11125,45360
11126,40000
11127,40000
11128,49544
11129,44204
11130,43172
11131,60792
11132,40000
11133,40000
11134,58731
11135,40000
11136,54770
11137,40000
11138,43154
11139,63596
11140,40000
11141,40000
11142,40000
11143,63264
11144,56144
11145,50480
11146,96019
11147,40000
11148,56344
11149,99680
11150,79045
11151,40000
11152,62169
11153,40000
11154,40000
11155,85737
11156,42448
11157,50629
11158,40000
11159,55943
11160,40000
11161,42700
11162,69873
11163,64988
11164,62630
11165,41030
11166,50996
11167,41462
11168,72944
11169,47680
11170,44531
11171,40000
11172,73262
11173,46609
11174,45806
11175,40000
11176,58670
11177,40000
11178,55571
11179,40069
11180,40000
11181,40000
11182,63677
11183,40000
11184,40000
11185,40000
11186,40000
11187,49530
11188,69516
11189,71798
11190,59220
11191,41001
11192,40000
11193,45258
11194,68149
11195,52089
11196,44671
11197,88741
11198,51071
11199,40000
11200,65008
11201,49454
11202,40000
11203,68049
11204,40000
11205,82102
11206,68802
11207,49728
11208,83660
11209,40000
11210,40000
11211,72668
11212,66041
11213,40000
11214,78975
11215,70468
11216,63757
11217,40000
11218,40000
11219,40000
11220,40000
11221,47184
11222,73559
11223,56878
11224,40000
11225,40000
11226,67366
11227,40000
11228,45862
11229,48214
11230,54402
11231,40000
11232,43863
11233,46070
11234,60412
11235,40000
11236,56204
11237,102547
11238,40000
11239,83636
11240,61739
11241,55964
11242,51852
11243,47598
11244,40000
11245,77791
11246,40000
11247,40000
11248,67711
11249,43324
11250,63572
11251,69432
11252,40000
11253,40000
11254,50562
11255,40000
11256,67685
11257,62901
11258,40000
11259,91628
11260,40000
11261,58175
11262,57033
11263,48695
11264,65827
11265,40000
11266,40000
11267,65990
11268,40000
11269,71092
11270,40000
11271,59015
11272,89679
11273,40000
11274,40000
11275,58382
11276,40000
11277,52519
11278,40000
11279,40000
11280,67177
11281,40000
11282,76282
11283,56439
11284,40000
11285,50426
11286,75397
11287,64454
11288,60782
11289,40000
11290,65034
11291,54307
11292,40000
11293,63418
11294,43768
11295,66622
11296,40000
11297,40000
11298,77952
11299,40000
11300,44380
11301,40000
11302,52934
11303,49413
11304,62295
11305,43393
11306,79215
11307,64887
11308,44014
11309,40000
11310,79768
11311,56393
11312,49130
11313,55301
11314,40000
11315,84316
11316,40000
11317,40000
11318,69853
11319,40000
11320,45118
11321,40783
11322,43021
11323,40000
11324,54288
11325,62458
11326,40000
11327,40000
11328,61119
11329,58591
11330,68922
11331,40000
11332,40000
11333,40000
11334,73839
11335,40000
11336,71404
11337,42659
11338,82210
11339,40000
11340,48813
11341,47896
11342,40000
11343,43306
11344,44490
11345,61656
11346,66099
11347,41524
11348,40000
11349,46356
11350,48090
11351,65863
11352,40000
11353,62812
11354,40000
11355,83126
11356,53112
11357,51285
11358,57117
11359,85969
11360,63466
11361,40978
11362,65693
11363,70183
11364,40000
11365,56463
11366,40000
11367,78730
11368,40000
11369,49907
11370,40000
11371,46423
11372,52023
11373,45912
11374,51611
11375,83880
11376,46964
11377,60961
11378,40000
11379,40000
11380,53345
11381,71747
11382,44122
11383,40000
11384,40000
11385,40000
11386,47726
11387,41824
11388,43632
11389,86011
11390,40000
11391,54638
11392,62114
11393,40000
11394,40000
11395,51673
11396,48918
11397,40000
11398,44625
11399,40324
11400,40000
11401,52021
11402,89345
11403,87912
11404,42907
11405,47098
11406,71834
11407,50395
11408,65600
11409,40000
11410,45665
11411,45516
11412,73045
11413,40220
11414,76725
11415,40000
11416,58151
11417,74114
11418,40000
11419,47542
11420,40000
11421,52416
11422,44085
11423,43947
11424,40000
11425,40000
11426,78109
11427,65177
11428,40000
11429,78620
11430,71181
11431,44804
11432,40208
11433,40000
11434,54798
11435,65726
11436,67921
11437,40000
11438,53950
11439,69470
11440,40000
11441,67352
11442,40000
11443,82308
11444,40000
11445,40000
11446,40000
11447,74396
11448,40000
11449,61434
11450,42732
11451,61848
11452,52083
11453,50997
11454,58237
11455,46590
11456,46367
11457,40000
11458,43739
11459,40000
11460,45712
11461,49398
11462,74001
11463,40000
11464,40000
11465,40000
11466,40472
11467,60924
11468,85983
11469,44625
11470,54614
11471,40000
11472,71642
11473,40000
11474,59016
11475,49565
11476,56449
11477,40000
11478,93693
11479,78157
11480,85687
11481,42627
11482,93516
11483,66924
11484,78045
11485,45743
11486,107118
11487,63779
11488,55704
11489,50394
11490,40000
11491,40000
11492,52639
11493,84934
11494,46637
11495,40220
11496,40000
11497,47324
11498,40000
11499,40000
11500,53141
11501,48608
11502,40000
11503,56928
11504,68510
11505,49847
11506,89747
11507,46183
11508,61373
11509,40000
11510,40000
11511,63552
11512,45659
11513,82525
11514,40000
11515,70182
11516,42666
11517,54453
11518,40000
11519,61444
11520,73886
11521,67809
11522,49279
11523,64203
11524,41081
11525,61691
11526,67591
11527,60212
11528,44026
11529,45513
11530,56081
11531,53370
11532,40000
11533,40000
11534,40000
11535,64204
11536,51854
11537,96023
11538,40000
11539,51616
11540,70043
11541,40000
11542,40000
11543,40000
11544,41062
11545,40000
11546,78216
11547,88701
11548,40000
11549,47524
11550,40000
11551,63612
11552,73942
11553,50541
11554,46065
11555,40000
11556,94203
11557,57561
11558,40000
11559,79916
11560,55608
11561,41388
11562,82255
11563,44919
11564,71216
11565,40000
11566,50466
11567,86261
11568,54673
11569,56536
11570,49184
11571,40000
11572,40000
11573,46194
11574,40000
11575,50896
11576,75077
11577,40000
11578,40000
11579,51201
11580,40000
11581,46950
11582,46584
11583,56846
11584,54421
11585,44852
11586,85929
11587,40000
11588,40000
11589,58444
11590,40000
11591,40000
11592,55959
11593,40000
11594,47334
11595,68224
11596,54076
11597,43205
11598,48112
11599,72403
11600,51994
11601,40000
11602,58575
11603,69180
11604,67601
11605,40000
11606,40000
11607,49584
11608,75458
11609,71954
11610,43598
11611,70990
11612,40000
11613,40000
11614,68728
11615,46591
11616,41900
11617,48838
11618,73416
11619,75765
11620,40000
11621,60596
11622,54953
11623,67994
11624,42001
11625,60333
11626,40000
11627,47168
11628,43966
11629,40000
11630,48782
11631,40000
11632,73029
11633,40000
11634,42068
11635,40000
11636,47900
11637,47301
11638,59646
11639,44728
11640,52520
11641,53327
11642,40000
11643,51970
11644,80722
11645,61796
11646,55411
11647,40000
11648,40000
11649,40000
11650,40000
11651,57164
11652,58583
11653,42624
11654,40000
11655,40000
11656,61926
11657,40000
11658,50087
11659,77527
11660,65758
11661,47700
11662,66700
11663,69423
11664,70380
11665,40000
11666,69278
11667,79814
11668,81323
11669,41183
11670,60931
11671,55227
11672,81212
11673,40000
11674,41454
11675,59823
11676,43310
11677,86658
11678,54238
11679,47190
11680,83768
11681,40000
11682,48241
11683,40000
11684,68753
11685,40000
11686,40000
11687,40000
11688,62954
11689,88980
11690,44420
11691,46240
11692,61845
11693,70403
11694,40000
11695,46989
11696,51633
11697,44268
11698,92931
11699,40000
11700,51475
11701,61097
11702,94495
11703,40000
11704,48727
11705,79701
11706,61482
11707,55379
11708,68112
11709,43381
11710,41951
11711,53170
11712,40000
11713,53387
11714,40000
11715,48995
11716,40000
11717,58955
11718,60112
11719,76415
11720,41731
11721,40000
11722,40000
11723,91895
11724,40000
11725,41545
11726,46017
11727,54335
11728,41427
11729,75926
11730,97213
11731,40000
11732,40000
11733,46092
11734,49728
11735,40000
11736,44127
11737,48832
11738,58432
11739,43666
11740,79335
11741,59925
11742,56759
11743,57591
11744,40000
11745,48355
11746,55951
11747,90239
11748,54491
11749,40000
11750,40000
11751,40000
11752,60876
11753,80308
11754,43638
11755,56874
11756,59493
11757,40000
11758,43432
11759,40000
11760,40000
11761,52986
11762,52050
11763,40000
11764,64875
11765,40000
11766,40000
11767,55832
11768,40509
11769,40000
11770,40000
11771,40000
11772,61295
11773,40000
11774,40000
11775,40000
11776,77997
11777,40000
11778,40000
11779,40000
11780,49009
11781,67981
11782,40000
11783,40000
11784,58447
11785,111231
11786,40000
11787,40000
11788,59292
11789,41863
11790,41777
11791,40000
11792,40000
11793,40000
11794,40000
11795,40000
11796,63002
11797,88050
11798,81093
11799,58726
11800,40000
11801,67265
11802,60280
11803,40000
11804,46168
11805,40000
11806,45424
11807,40000
11808,51897
11809,55101
11810,41256
11811,52695
11812,47297
11813,94687
11814,40000
11815,52239
11816,53163
11817,50638
11818,44252
11819,59829
11820,46244
11821,50404
11822,67396
11823,72637
11824,41033
11825,53906
11826,49062
11827,43015
11828,59619
11829,40000
11830,67232
11831,51751
11832,40000
11833,66574
11834,84003
11835,40000
11836,40000
11837,55519
11838,68674
11839,73024
11840,52977
11841,90296
11842,40000
11843,48703
11844,78049
11845,40000
11846,53448
11847,64449
11848,58804
11849,63730
11850,62811
11851,41508
11852,66717
11853,61941
11854,40000
11855,64165
11856,40000
11857,94805
11858,40335
11859,79630
11860,52102
11861,66619
11862,46011
11863,54220
11864,52517
11865,40000
11866,40481
11867,53552
11868,48349
11869,62968
11870,92890
11871,67424
11872,43159
11873,52243
11874,72605
11875,62315
11876,45372
11877,50777
11878,59403
11879,40000
11880,85790
11881,76541
11882,49334
11883,58135
11884,79860
11885,43445
11886,40000
11887,40000
11888,53720
11889,41636
11890,65525
11891,40000
11892,50901
11893,50514
11894,56198
11895,66950
11896,40000
11897,80049
11898,43347
11899,40864
11900,73147
11901,78197
11902,40000
11903,48959
11904,71752
11905,40251
11906,81324
11907,40000
11908,79580
11909,48724
11910,58018
11911,40000
11912,49842
11913,40000
11914,40000
11915,58042
11916,66691
11917,40000
11918,40000
11919,40000
11920,69818
11921,45865
11922,40000
11923,40000
11924,62705
11925,55133
11926,41612
11927,76086
11928,40000
11929,40000
11930,50704
11931,73369
11932,44255
11933,56130
11934,42846
11935,72224
11936,81194
11937,75590
11938,40000
11939,64815
11940,60193
11941,52224
11942,77391
11943,68057
11944,52061
11945,53056
11946,66544
11947,54249
11948,49929
11949,40000
11950,41360
11951,40000
11952,53243
11953,51390
11954,81841
11955,40000
11956,68564
11957,58955
11958,57996
11959,47935
11960,40000
11961,83539
11962,40000
11963,40000
11964,71667
11965,57709
11966,61626
11967,40000
11968,65439
11969,91787
11970,40000
11971,40000
11972,52908
11973,40000
11974,61173
11975,40000
11976,70345
11977,40000
11978,56414
11979,50796
11980,58241
11981,42925
11982,40000
11983,40000
11984,59501
11985,40000
11986,48563
11987,40000
11988,57652
11989,40000
11990,63106
11991,61223
11992,40000
11993,56505
11994,49761
11995,55714
11996,52870
11997,40000
11998,58617
11999,40000
12000,50678
12001,71467
12002,42654
12003,59540
12004,58136
12005,46505
12006,44032
12007,40000
12008,68535
12009,55614
12010,40000
12011,85833
12012,72898
12013,70615
12014,55769
12015,42853
12016,42839
12017,50760
12018,46011
12019,40000
12020,73508
12021,40000
12022,63140
12023,40000
12024,65580
12025,62126
12026,76571
12027,45038
12028,51314
12029,41474
12030,40000
12031,51383
12032,40000
12033,49992
12034,40148
12035,40000
12036,67143
12037,47805
12038,40000
12039,44145
12040,64813
12041,65814
12042,52176
12043,49009
12044,40000
12045,40000
12046,70172
12047,52051
12048,56508
12049,46155
12050,46704
12051,49750
12052,40000
12053,48319
12054,67400
12055,60201
12056,40000
12057,75815
12058,61378
12059,45275
12060,40000
12061,62796
12062,44199
12063,56022
12064,40000
12065,51884
12066,69228
12067,72160
12068,51401
12069,51928
12070,50233
12071,40000
12072,40000
12073,40000
12074,40000
12075,40000
12076,75381
12077,50388
12078,44947
12079,43632
12080,47946
12081,54699
12082,72118
12083,56808
12084,40000
12085,41358
12086,66388
12087,45432
12088,69081
12089,46288
12090,46269
12091,40000
12092,40000
12093,40000
12094,44788
12095,57978
12096,63911
12097,90243
12098,62575
12099,104610
12100,70999
12101,40000
12102,90853
12103,56188
12104,43465
12105,40000
12106,40000
12107,54485
12108,56691
12109,43689
12110,45382
12111,47294
12112,76538
12113,73294
12114,40000
12115,52562
12116,40813
12117,40000
12118,40000
12119,69109
12120,71783
12121,53929
12122,46398
12123,64879
12124,50872
12125,41215
12126,56921
12127,66740
12128,81527
12129,67618
12130,59494
12131,40000
12132,40000
12133,40000
12134,53503
12135,40000
12136,40000
12137,46294
12138,40000
12139,40000
12140,40000
12141,53897
12142,48378
12143,57666
12144,40000
12145,40000
12146,53521
12147,40000
12148,42040
12149,109934
12150,48057
12151,82191
12152,82078
12153,62254
12154,49909
12155,55355
12156,55022
12157,40000
12158,53389
12159,61210
12160,60391
12161,40000
12162,40000
12163,54110
12164,43366
12165,41951
12166,40000
12167,57757
12168,40000
12169,40000
12170,40000
12171,76375
12172,40000
12173,58321
12174,40000
12175,42918
12176,40000
12177,50570
12178,73367
12179,57733
12180,40000
12181,80475
12182,81444
12183,40000
12184,77277
12185,65420
12186,70221
12187,40000
12188,47964
12189,70923
12190,40000
12191,45307
12192,41625
12193,40000
12194,49340
12195,59882
12196,41979
12197,54456
12198,40313
12199,99287
12200,59884
12201,40000
12202,40000
12203,56668
12204,40000
12205,40000
12206,40000
12207,40000
12208,63683
12209,50420
12210,40000
12211,40000
12212,40000
12213,79834
12214,54681
12215,69252
12216,40000
12217,40000
12218,40000
12219,57507
12220,53075
12221,56736
12222,55840
12223,54459
12224,59714
12225,61090
12226,40000
12227,40000
12228,40000
12229,54321
12230,53692
12231,40000
12232,82709
12233,54678
12234,54921
12235,100755
12236,55907
12237,59019
12238,40000
12239,40000
12240,40000
12241,59930
12242,46911
12243,40785
12244,40000
12245,57640
12246,40000
12247,59183
12248,45054
12249,70099
12250,61573
12251,83518
12252,40000
12253,54124
12254,44848
12255,57304
12256,40000
12257,56495
12258,40748
12259,77426
12260,83671
12261,84058
12262,49633
12263,53078
12264,51816
12265,40000
12266,45079
12267,75510
12268,48612
12269,40000
12270,52840
12271,40000
12272,43811
12273,90736
12274,40000
12275,43671
12276,59844
12277,43960
12278,40000
12279,40000
12280,58288
12281,45417
12282,40000
12283,57626
12284,55920
12285,65800
12286,40000
12287,40000
12288,43296
12289,41606
12290,60429
12291,67506
12292,57645
12293,67543
12294,77586
12295,78131
12296,63405
12297,68376
12298,62015
12299,40000
12300,40000
12301,40835
12302,40000
12303,40000
12304,40000
12305,40000
12306,86718
12307,40000
12308,58741
12309,40000
12310,62984
12311,40000
12312,52344
12313,45777
12314,40000
12315,56609
12316,46261
12317,40000
12318,73225
12319,40000
12320,69973
12321,105071
12322,56115
12323,40000
12324,59755
12325,74200
12326,57236
12327,67449
12328,51299
12329,40000
12330,46984
